GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race,zip_pop,prop_His_Lat,prop_Two_more,prop_incl_other,prop_His_Lat_Two_more,prop_His_Lat_incl_other,prop_Two_more_incl_other,prop_His_Lat_Two_more_incl_other
60621,ZCTA5 60621,B03002_011,101,63,No,Two or more races,Excluding,127,0.7952755905511811,1,0.84251968503937,0.7952755905511811,0.7952755905511811,0.84251968503937,0.7952755905511811
60621,ZCTA5 60621,B03002_020,20,37,Yes,Two or more races,Including,127,0.2047244094488189,1,0.15748031496062992,0.2047244094488189,0.15748031496062992,0.15748031496062992,0.15748031496062992
60621,ZCTA5 60621,B03002_021,6,9,Yes,Two or more races,Excluding,127,0.2047244094488189,1,0.84251968503937,0.2047244094488189,0.047244094488188976,0.84251968503937,0.047244094488188976
60622,ZCTA5 60622,B03002_010,98,84,No,Two or more races,Including,2053,0.6897223575255723,1,0.2547491475888943,0.6897223575255723,0.047735021919142716,0.2547491475888943,0.047735021919142716
60622,ZCTA5 60622,B03002_011,1318,269,No,Two or more races,Excluding,2053,0.6897223575255723,1,0.7452508524111057,0.6897223575255723,0.6419873356064296,0.7452508524111057,0.6419873356064296
60622,ZCTA5 60622,B03002_020,425,197,Yes,Two or more races,Including,2053,0.3102776424744277,1,0.2547491475888943,0.3102776424744277,0.20701412566975158,0.2547491475888943,0.20701412566975158
60622,ZCTA5 60622,B03002_021,212,113,Yes,Two or more races,Excluding,2053,0.3102776424744277,1,0.7452508524111057,0.3102776424744277,0.10326351680467609,0.7452508524111057,0.10326351680467609
60623,ZCTA5 60623,B03002_010,11,17,No,Two or more races,Including,1077,0.28597957288765086,1,0.2776230269266481,0.28597957288765086,0.01021355617455896,0.2776230269266481,0.01021355617455896
60623,ZCTA5 60623,B03002_011,297,142,No,Two or more races,Excluding,1077,0.28597957288765086,1,0.7223769730733519,0.28597957288765086,0.2757660167130919,0.7223769730733519,0.2757660167130919
60623,ZCTA5 60623,B03002_020,288,158,Yes,Two or more races,Including,1077,0.7140204271123491,1,0.2776230269266481,0.7140204271123491,0.26740947075208915,0.2776230269266481,0.26740947075208915
60623,ZCTA5 60623,B03002_021,481,192,Yes,Two or more races,Excluding,1077,0.7140204271123491,1,0.7223769730733519,0.7140204271123491,0.44661095636026,0.7223769730733519,0.44661095636026
60624,ZCTA5 60624,B03002_010,0,23,No,Two or more races,Including,403,0.8535980148883374,1,0.12655086848635236,0.8535980148883374,0,0.12655086848635236,0
60624,ZCTA5 60624,B03002_011,344,182,No,Two or more races,Excluding,403,0.8535980148883374,1,0.8734491315136477,0.8535980148883374,0.8535980148883374,0.8734491315136477,0.8535980148883374
60624,ZCTA5 60624,B03002_020,51,58,Yes,Two or more races,Including,403,0.14640198511166252,1,0.12655086848635236,0.14640198511166252,0.12655086848635236,0.12655086848635236,0.12655086848635236
60624,ZCTA5 60624,B03002_021,8,10,Yes,Two or more races,Excluding,403,0.14640198511166252,1,0.8734491315136477,0.14640198511166252,0.019851116625310174,0.8734491315136477,0.019851116625310174
60625,ZCTA5 60625,B03002_010,203,127,No,Two or more races,Including,4262,0.6940403566400751,1,0.21938057250117315,0.6940403566400751,0.047630220553730646,0.21938057250117315,0.047630220553730646
