GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race
60616,ZCTA5 60616,B03002_021,81,84,Yes,Two or more races,Excluding
60651,ZCTA5 60651,B03002_021,460,260,Yes,Two or more races,Excluding
60604,ZCTA5 60604,B03002_021,10,15,Yes,Two or more races,Excluding
60612,ZCTA5 60612,B03002_021,65,55,Yes,Two or more races,Excluding
60613,ZCTA5 60613,B03002_021,139,68,Yes,Two or more races,Excluding
60617,ZCTA5 60617,B03002_021,273,136,Yes,Two or more races,Excluding
60618,ZCTA5 60618,B03002_021,471,203,Yes,Two or more races,Excluding
60624,ZCTA5 60624,B03002_021,8,10,Yes,Two or more races,Excluding
60626,ZCTA5 60626,B03002_021,208,137,Yes,Two or more races,Excluding
60630,ZCTA5 60630,B03002_021,471,320,Yes,Two or more races,Excluding
60632,ZCTA5 60632,B03002_021,613,363,Yes,Two or more races,Excluding
60645,ZCTA5 60645,B03002_021,43,60,Yes,Two or more races,Excluding
60653,ZCTA5 60653,B03002_021,43,37,Yes,Two or more races,Excluding
