County,State,variable,estimate,label
Crawford, Indiana,B19101_015,53,"$125,000 to $149,999"
Crawford, Indiana,B19101_016,67,"$150,000 to $199,999"
Crawford, Indiana,B19101_017,27,"$200,000 or more"
Daviess, Indiana,B19101_002,287,"Less than $10,000"
Daviess, Indiana,B19101_003,155,"$10,000 to $14,999"
Daviess, Indiana,B19101_004,239,"$15,000 to $19,999"
Daviess, Indiana,B19101_005,187,"$20,000 to $24,999"
Daviess, Indiana,B19101_006,345,"$25,000 to $29,999"
Daviess, Indiana,B19101_007,317,"$30,000 to $34,999"
Daviess, Indiana,B19101_008,496,"$35,000 to $39,999"
Daviess, Indiana,B19101_009,450,"$40,000 to $44,999"
Daviess, Indiana,B19101_010,519,"$45,000 to $49,999"
Daviess, Indiana,B19101_011,953,"$50,000 to $59,999"
Daviess, Indiana,B19101_012,1095,"$60,000 to $74,999"
Daviess, Indiana,B19101_013,1011,"$75,000 to $99,999"
Daviess, Indiana,B19101_014,990,"$100,000 to $124,999"
Daviess, Indiana,B19101_015,400,"$125,000 to $149,999"
Daviess, Indiana,B19101_016,520,"$150,000 to $199,999"
Daviess, Indiana,B19101_017,223,"$200,000 or more"
Dearborn, Indiana,B19101_002,351,"Less than $10,000"
Dearborn, Indiana,B19101_003,280,"$10,000 to $14,999"
Dearborn, Indiana,B19101_004,245,"$15,000 to $19,999"
Dearborn, Indiana,B19101_005,366,"$20,000 to $24,999"
Dearborn, Indiana,B19101_006,439,"$25,000 to $29,999"
Dearborn, Indiana,B19101_007,410,"$30,000 to $34,999"
Dearborn, Indiana,B19101_008,395,"$35,000 to $39,999"
Dearborn, Indiana,B19101_009,585,"$40,000 to $44,999"
Dearborn, Indiana,B19101_010,408,"$45,000 to $49,999"
Dearborn, Indiana,B19101_011,1106,"$50,000 to $59,999"
Dearborn, Indiana,B19101_012,1861,"$60,000 to $74,999"
Dearborn, Indiana,B19101_013,2273,"$75,000 to $99,999"
Dearborn, Indiana,B19101_014,1667,"$100,000 to $124,999"
Dearborn, Indiana,B19101_015,1351,"$125,000 to $149,999"
Dearborn, Indiana,B19101_016,835,"$150,000 to $199,999"
Dearborn, Indiana,B19101_017,855,"$200,000 or more"
Decatur, Indiana,B19101_002,241,"Less than $10,000"
Decatur, Indiana,B19101_003,250,"$10,000 to $14,999"
Decatur, Indiana,B19101_004,175,"$15,000 to $19,999"
Decatur, Indiana,B19101_005,167,"$20,000 to $24,999"
Decatur, Indiana,B19101_006,332,"$25,000 to $29,999"
Decatur, Indiana,B19101_007,170,"$30,000 to $34,999"
Decatur, Indiana,B19101_008,394,"$35,000 to $39,999"
Decatur, Indiana,B19101_009,463,"$40,000 to $44,999"
Decatur, Indiana,B19101_010,335,"$45,000 to $49,999"
