date,zipcode,confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,total_tested,total_tested_change,total_tested_change_pct,pct_population_moe,below_moe_threshold,cases_per_capita,cases_per_1000,confirmed_cases_unknown,confirmed_cases_less_than_20,confirmed_cases_20_to_29,confirmed_cases_30_to_39,confirmed_cases_40_to_49,confirmed_cases_50_to_59,confirmed_cases_60_to_69,confirmed_cases_70_to_79,confirmed_cases_80_or_more,total_tested_unknown,total_tested_less_than_20,total_tested_20_to_29,total_tested_30_to_39,total_tested_40_to_49,total_tested_50_to_59,total_tested_60_to_69,total_tested_70_to_79,total_tested_80_or_more,confirmed_cases_female,confirmed_cases_male,confirmed_cases_unknownleftblank,total_tested_female,total_tested_male,total_tested_unknownleftblank,confirmed_cases_aian,confirmed_cases_asian,confirmed_cases_black,confirmed_cases_hispanic,confirmed_cases_leftblank,confirmed_cases_nhpi,confirmed_cases_other,confirmed_cases_white,total_tested_aian,total_tested_asian,total_tested_black,total_tested_hispanic,total_tested_leftblank,total_tested_nhpi,total_tested_other,total_tested_white
9/30/2020,62859,43,0,0,1094,23,2.15,0.06,TRUE,0.01,7.38,0,7,7,0,8,7,0,6,0,0,158,120,124,140,179,148,101,123,21,21,0,672,375,47,0,0,0,0,16,0,0,27,0,0,6,19,302,0,12,754
9/30/2020,62858,56,0,0,684,10,1.48,0.1,TRUE,0.02,20.07,0,8,9,7,0,8,11,7,0,0,112,66,74,73,104,124,97,34,25,31,0,383,293,8,0,0,0,0,11,0,0,44,0,0,0,0,144,0,61,477
9/30/2020,62854,29,0,0,344,2,0.58,0.13,FALSE,,,0,6,0,0,0,0,0,0,0,0,49,40,29,60,53,57,37,19,19,10,0,223,120,0,0,0,0,0,6,0,0,23,0,0,0,0,118,0,18,204
9/30/2020,62853,14,0,0,236,4,1.72,0.18,FALSE,,,0,0,0,0,0,0,0,0,0,0,28,20,40,29,49,32,30,8,9,0,0,147,87,0,0,0,0,0,0,0,0,11,0,0,0,0,77,0,6,151
9/30/2020,62851,9,0,0,72,0,0,0.68,FALSE,,,0,0,0,0,0,0,0,0,0,0,12,12,19,10,0,0,7,0,0,0,0,56,15,0,0,0,0,0,0,0,0,9,0,0,0,0,23,0,0,49
9/30/2020,62849,21,0,0,378,6,1.61,0.09,TRUE,0.01,10,0,0,0,0,0,6,0,0,0,0,45,49,45,55,76,46,42,19,12,9,0,218,148,12,0,0,0,0,0,0,0,19,0,0,0,0,146,0,7,223
9/30/2020,62848,17,0,0,197,1,0.51,0.16,FALSE,,,0,0,0,0,0,0,0,0,0,0,19,33,36,28,31,28,14,8,10,7,0,108,79,10,0,0,0,0,0,0,0,15,0,0,0,0,35,0,6,150
9/30/2020,62846,23,1,4.55,333,1,0.3,0.05,TRUE,0.01,8.51,0,12,0,0,0,0,0,0,0,0,28,71,56,38,39,58,38,0,15,7,0,95,226,12,0,0,0,0,0,0,0,15,0,0,64,13,59,0,6,187
9/30/2020,62844,34,1,3.03,329,4,1.23,0.09,TRUE,0.02,15.55,0,6,0,0,0,6,0,0,0,0,57,45,43,42,75,39,15,13,23,10,0,207,111,11,0,0,0,0,9,0,0,24,0,0,0,0,92,0,0,236
9/30/2020,62842,12,0,0,168,0,0,0.16,FALSE,,,0,0,0,0,0,0,0,0,0,0,44,31,22,15,18,16,11,11,6,6,0,107,56,0,0,0,0,0,0,0,0,10,0,0,0,0,22,0,0,145
9/30/2020,62841,7,0,0,157,1,0.64,0.62,FALSE,,,0,0,0,0,0,0,0,0,0,0,20,30,25,26,22,18,14,0,0,0,0,57,38,62,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,81
9/30/2020,62839,66,1,1.54,1549,42,2.79,0.02,TRUE,0.01,10.32,0,14,6,13,7,7,14,0,0,0,254,204,180,166,217,226,160,141,34,32,0,941,583,25,0,0,0,0,10,0,0,55,0,0,0,6,329,0,47,1155
