NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Ashland County, Wisconsin",Ashland County,Wisconsin,WI,11,0,15562,0,0,70.685
"Barron County, Wisconsin",Barron County,Wisconsin,WI,82,2,45244,2.439,4.42,181.24
"Bayfield County, Wisconsin",Bayfield County,Wisconsin,WI,14,1,15036,7.143,6.651,93.11
"Brown County, Wisconsin",Brown County,Wisconsin,WI,3629,47,264542,1.295,17.767,1371.805
"Buffalo County, Wisconsin",Buffalo County,Wisconsin,WI,28,2,13031,7.143,15.348,214.872
"Burnett County, Wisconsin",Burnett County,Wisconsin,WI,6,1,15414,16.667,6.488,38.926
"Calumet County, Wisconsin",Calumet County,Wisconsin,WI,192,2,50089,1.042,3.993,383.318
"Chippewa County, Wisconsin",Chippewa County,Wisconsin,WI,172,0,64658,0,0,266.015
"Clark County, Wisconsin",Clark County,Wisconsin,WI,147,7,34774,4.762,20.13,422.73
"Columbia County, Wisconsin",Columbia County,Wisconsin,WI,171,1,57532,0.585,1.738,297.226
"Crawford County, Wisconsin",Crawford County,Wisconsin,WI,49,0,16131,0,0,303.763
"Dane County, Wisconsin",Dane County,Wisconsin,WI,3633,33,546695,0.908,6.036,664.539
"Dodge County, Wisconsin",Dodge County,Wisconsin,WI,584,5,87839,0.856,5.692,664.853
"Door County, Wisconsin",Door County,Wisconsin,WI,75,3,27668,4,10.843,271.071
"Douglas County, Wisconsin",Douglas County,Wisconsin,WI,77,0,43150,0,0,178.447
"Dunn County, Wisconsin",Dunn County,Wisconsin,WI,74,0,45368,0,0,163.111
"Eau Claire County, Wisconsin",Eau Claire County,Wisconsin,WI,409,2,104646,0.489,1.911,390.842
"Florence County, Wisconsin",Florence County,Wisconsin,WI,5,0,4295,0,0,116.414
"Fond du Lac County, Wisconsin",Fond du Lac County,Wisconsin,WI,458,6,103403,1.31,5.803,442.927
"Forest County, Wisconsin",Forest County,Wisconsin,WI,51,4,9004,7.843,44.425,566.415
