GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60634,ZCTA5 60634,B27001_011,401,154,Male,19 to 25 years,No,75681,0.485564408504116,0.07232991107411371,0.11376699567923257,0.03570248807494616,0.06099285157437138,0.010293204370978184,0.0052985557801826086
60634,ZCTA5 60634,B27001_013,4033,393,Male,26 to 34 years,Yes,75681,0.485564408504116,0.13823813110291883,0.8862330043207675,0.06866981144540903,0.4245715569297446,0.11170571213382487,0.05328946499121312
60634,ZCTA5 60634,B27001_014,1164,319,Male,26 to 34 years,No,75681,0.485564408504116,0.13823813110291883,0.11376699567923257,0.06866981144540903,0.06099285157437138,0.02653241896909396,0.015380346454195901
60634,ZCTA5 60634,B27001_016,4129,371,Male,35 to 44 years,Yes,75681,0.485564408504116,0.1365864615953806,0.8862330043207675,0.0674673960439212,0.4245715569297446,0.11248530014138292,0.05455794717300247
60634,ZCTA5 60634,B27001_017,977,210,Male,35 to 44 years,No,75681,0.485564408504116,0.1365864615953806,0.11376699567923257,0.0674673960439212,0.06099285157437138,0.0241011614539977,0.012909448870918725
60634,ZCTA5 60634,B27001_019,4485,421,Male,45 to 54 years,Yes,75681,0.485564408504116,0.13900450575441656,0.8862330043207675,0.07309628572561144,0.4245715569297446,0.11606611963372578,0.059261901930471324
60634,ZCTA5 60634,B27001_020,1047,312,Male,45 to 54 years,No,75681,0.485564408504116,0.13900450575441656,0.11376699567923257,0.07309628572561144,0.06099285157437138,0.022938386120690796,0.013834383795140128
60634,ZCTA5 60634,B27001_022,4364,343,Male,55 to 64 years,Yes,75681,0.485564408504116,0.13056117123188118,0.8862330043207675,0.06376765634703559,0.4245715569297446,0.1145465836867906,0.05766308584717433
60634,ZCTA5 60634,B27001_023,462,134,Male,55 to 64 years,No,75681,0.485564408504116,0.13056117123188118,0.11376699567923257,0.06376765634703559,0.06099285157437138,0.016014587545090577,0.00610457049986126
60634,ZCTA5 60634,B27001_025,3191,352,Male,65 to 74 years,Yes,75681,0.485564408504116,0.09008866161916465,0.8862330043207675,0.04327374109750135,0.4245715569297446,0.08804059142981725,0.04216381918843567
60634,ZCTA5 60634,B27001_026,84,102,Male,65 to 74 years,No,75681,0.485564408504116,0.09008866161916465,0.11376699567923257,0.04327374109750135,0.06099285157437138,0.0020480701893473923,0.0011099219090656837
60634,ZCTA5 60634,B27001_028,1591,219,Male,75 years and over,Yes,75681,0.485564408504116,0.05986971630924538,0.8862330043207675,0.0224891320146404,0.4245715569297446,0.05676457763507353,0.021022449491946458
60634,ZCTA5 60634,B27001_029,111,97,Male,75 years and over,No,75681,0.485564408504116,0.05986971630924538,0.11376699567923257,0.0224891320146404,0.06099285157437138,0.003105138674171853,0.001466682522693939
60634,ZCTA5 60634,B27001_032,3065,360,Female,Under 6 years,Yes,75681,0.514435591495884,0.07922728293759332,0.8862330043207675,0.04076320344604326,0.46166144739102283,0.07768132027853755,0.04049893632483714
60634,ZCTA5 60634,B27001_033,20,22,Female,Under 6 years,No,75681,0.514435591495884,0.07922728293759332,0.11376699567923257,0.04076320344604326,0.05277414410486119,0.0015459626590557736,2.6426712120611513e-4
60634,ZCTA5 60634,B27001_035,5894,655,Female,6 to 18 years,Yes,75681,0.514435591495884,0.15409415837528573,0.8862330043207675,0.08146034011178499,0.46166144739102283,0.1469060926784794,0.07787952061944213
60634,ZCTA5 60634,B27001_036,271,159,Female,6 to 18 years,No,75681,0.514435591495884,0.15409415837528573,0.11376699567923257,0.08146034011178499,0.05277414410486119,0.007188065696806332,0.0035808194923428603
60634,ZCTA5 60634,B27001_038,2394,359,Female,19 to 25 years,Yes,75681,0.514435591495884,0.07232991107411371,0.8862330043207675,0.03662742299916756,0.46166144739102283,0.062036706703135526,0.031632774408371984
60634,ZCTA5 60634,B27001_039,378,162,Female,19 to 25 years,No,75681,0.514435591495884,0.07232991107411371,0.11376699567923257,0.03662742299916756,0.05277414410486119,0.010293204370978184,0.0049946485907955765
60634,ZCTA5 60634,B27001_041,4421,413,Female,26 to 34 years,Yes,75681,0.514435591495884,0.13823813110291883,0.8862330043207675,0.06956831965750981,0.46166144739102283,0.11170571213382487,0.05841624714261175
60634,ZCTA5 60634,B27001_042,844,231,Female,26 to 34 years,No,75681,0.514435591495884,0.13823813110291883,0.11376699567923257,0.06956831965750981,0.05277414410486119,0.02653241896909396,0.011152072514898059
60634,ZCTA5 60634,B27001_044,4384,382,Female,35 to 44 years,Yes,75681,0.514435591495884,0.1365864615953806,0.8862330043207675,0.06911906555145941,0.46166144739102283,0.11248530014138292,0.05792735296838044
60634,ZCTA5 60634,B27001_045,847,230,Female,35 to 44 years,No,75681,0.514435591495884,0.1365864615953806,0.11376699567923257,0.06911906555145941,0.05277414410486119,0.0241011614539977,0.011191712583078977
60634,ZCTA5 60634,B27001_047,4299,398,Female,45 to 54 years,Yes,75681,0.514435591495884,0.13900450575441656,0.8862330043207675,0.06590822002880511,0.46166144739102283,0.11606611963372578,0.05680421770325445
60634,ZCTA5 60634,B27001_048,689,208,Female,45 to 54 years,No,75681,0.514435591495884,0.13900450575441656,0.11376699567923257,0.06590822002880511,0.05277414410486119,0.022938386120690796,0.009104002325550666
60634,ZCTA5 60634,B27001_050,4305,369,Female,55 to 64 years,Yes,75681,0.514435591495884,0.13056117123188118,0.8862330043207675,0.0667935148848456,0.46166144739102283,0.1145465836867906,0.056883497839616284
60634,ZCTA5 60634,B27001_051,750,197,Female,55 to 64 years,No,75681,0.514435591495884,0.13056117123188118,0.11376699567923257,0.0667935148848456,0.05277414410486119,0.016014587545090577,0.009910017045229317
60634,ZCTA5 60634,B27001_053,3472,336,Female,65 to 74 years,Yes,75681,0.514435591495884,0.09008866161916465,0.8862330043207675,0.0468149205216633,0.46166144739102283,0.08804059142981725,0.04587677224138159
60634,ZCTA5 60634,B27001_054,71,56,Female,65 to 74 years,No,75681,0.514435591495884,0.09008866161916465,0.11376699567923257,0.0468149205216633,0.05277414410486119,0.0020480701893473923,9.381482802817087e-4
60634,ZCTA5 60634,B27001_056,2705,282,Female,75 years and over,Yes,75681,0.514435591495884,0.05986971630924538,0.8862330043207675,0.03738058429460499,0.46166144739102283,0.05676457763507353,0.03574212814312707
60634,ZCTA5 60634,B27001_057,124,105,Female,75 years and over,No,75681,0.514435591495884,0.05986971630924538,0.11376699567923257,0.03738058429460499,0.05277414410486119,0.003105138674171853,0.001638456151477914
60636,ZCTA5 60636,B27001_004,1089,235,Male,Under 6 years,Yes,32185,0.47248718347056085,0.07174149448500855,0.8942053751747708,0.0340531303402206,0.4049712599036818,0.07003262389311792,0.03383563771943452
60636,ZCTA5 60636,B27001_005,7,16,Male,Under 6 years,No,32185,0.47248718347056085,0.07174149448500855,0.10579462482522914,0.0340531303402206,0.06751592356687898,0.0017088705918906323,2.1749262078608048e-4
60636,ZCTA5 60636,B27001_007,2741,357,Male,6 to 18 years,Yes,32185,0.47248718347056085,0.17517477085598882,0.8942053751747708,0.08631350007767594,0.4049712599036818,0.17203666304178966,0.0851638962249495
60636,ZCTA5 60636,B27001_008,37,26,Male,6 to 18 years,No,32185,0.47248718347056085,0.17517477085598882,0.10579462482522914,0.08631350007767594,0.06751592356687898,0.003138107814199161,0.0011496038527264254
60636,ZCTA5 60636,B27001_010,1036,231,Male,19 to 25 years,Yes,32185,0.47248718347056085,0.08771166692558645,0.8942053751747708,0.047661954326549634,0.4049712599036818,0.0656517011029983,0.03218890787633991
