NAME,County,State,variable,estimate,label
"Bureau County, Illinois",Bureau, Illinois,B19101_017,388,"$200,000 or more"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_002,51,"Less than $10,000"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_003,14,"$10,000 to $14,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_004,36,"$15,000 to $19,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_005,56,"$20,000 to $24,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_006,36,"$25,000 to $29,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_007,26,"$30,000 to $34,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_008,47,"$35,000 to $39,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_009,37,"$40,000 to $44,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_010,51,"$45,000 to $49,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_011,115,"$50,000 to $59,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_012,179,"$60,000 to $74,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_013,192,"$75,000 to $99,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_014,207,"$100,000 to $124,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_015,73,"$125,000 to $149,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_016,48,"$150,000 to $199,999"
"Calhoun County, Illinois",Calhoun, Illinois,B19101_017,44,"$200,000 or more"
"Carroll County, Illinois",Carroll, Illinois,B19101_002,177,"Less than $10,000"
"Carroll County, Illinois",Carroll, Illinois,B19101_003,102,"$10,000 to $14,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_004,115,"$15,000 to $19,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_005,101,"$20,000 to $24,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_006,159,"$25,000 to $29,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_007,156,"$30,000 to $34,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_008,152,"$35,000 to $39,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_009,274,"$40,000 to $44,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_010,149,"$45,000 to $49,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_011,444,"$50,000 to $59,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_012,568,"$60,000 to $74,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_013,729,"$75,000 to $99,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_014,397,"$100,000 to $124,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_015,266,"$125,000 to $149,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_016,200,"$150,000 to $199,999"
"Carroll County, Illinois",Carroll, Illinois,B19101_017,108,"$200,000 or more"
"Cass County, Illinois",Cass, Illinois,B19101_002,108,"Less than $10,000"
"Cass County, Illinois",Cass, Illinois,B19101_003,138,"$10,000 to $14,999"
"Cass County, Illinois",Cass, Illinois,B19101_004,92,"$15,000 to $19,999"
"Cass County, Illinois",Cass, Illinois,B19101_005,153,"$20,000 to $24,999"
"Cass County, Illinois",Cass, Illinois,B19101_006,250,"$25,000 to $29,999"
"Cass County, Illinois",Cass, Illinois,B19101_007,166,"$30,000 to $34,999"
"Cass County, Illinois",Cass, Illinois,B19101_008,157,"$35,000 to $39,999"
"Cass County, Illinois",Cass, Illinois,B19101_009,161,"$40,000 to $44,999"
"Cass County, Illinois",Cass, Illinois,B19101_010,159,"$45,000 to $49,999"
"Cass County, Illinois",Cass, Illinois,B19101_011,288,"$50,000 to $59,999"
"Cass County, Illinois",Cass, Illinois,B19101_012,434,"$60,000 to $74,999"
"Cass County, Illinois",Cass, Illinois,B19101_013,582,"$75,000 to $99,999"
"Cass County, Illinois",Cass, Illinois,B19101_014,296,"$100,000 to $124,999"
"Cass County, Illinois",Cass, Illinois,B19101_015,190,"$125,000 to $149,999"
"Cass County, Illinois",Cass, Illinois,B19101_016,100,"$150,000 to $199,999"
"Cass County, Illinois",Cass, Illinois,B19101_017,112,"$200,000 or more"
"Champaign County, Illinois",Champaign, Illinois,B19101_002,1988,"Less than $10,000"
"Champaign County, Illinois",Champaign, Illinois,B19101_003,894,"$10,000 to $14,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_004,1132,"$15,000 to $19,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_005,1542,"$20,000 to $24,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_006,1092,"$25,000 to $29,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_007,1434,"$30,000 to $34,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_008,1449,"$35,000 to $39,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_009,1368,"$40,000 to $44,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_010,1660,"$45,000 to $49,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_011,3136,"$50,000 to $59,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_012,4361,"$60,000 to $74,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_013,6471,"$75,000 to $99,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_014,5352,"$100,000 to $124,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_015,3404,"$125,000 to $149,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_016,3407,"$150,000 to $199,999"
"Champaign County, Illinois",Champaign, Illinois,B19101_017,3845,"$200,000 or more"
"Christian County, Illinois",Christian, Illinois,B19101_002,349,"Less than $10,000"
"Christian County, Illinois",Christian, Illinois,B19101_003,214,"$10,000 to $14,999"
"Christian County, Illinois",Christian, Illinois,B19101_004,263,"$15,000 to $19,999"
"Christian County, Illinois",Christian, Illinois,B19101_005,376,"$20,000 to $24,999"
"Christian County, Illinois",Christian, Illinois,B19101_006,349,"$25,000 to $29,999"
"Christian County, Illinois",Christian, Illinois,B19101_007,387,"$30,000 to $34,999"
"Christian County, Illinois",Christian, Illinois,B19101_008,472,"$35,000 to $39,999"
"Christian County, Illinois",Christian, Illinois,B19101_009,359,"$40,000 to $44,999"
"Christian County, Illinois",Christian, Illinois,B19101_010,306,"$45,000 to $49,999"
"Christian County, Illinois",Christian, Illinois,B19101_011,1035,"$50,000 to $59,999"
"Christian County, Illinois",Christian, Illinois,B19101_012,1217,"$60,000 to $74,999"
"Christian County, Illinois",Christian, Illinois,B19101_013,1499,"$75,000 to $99,999"
"Christian County, Illinois",Christian, Illinois,B19101_014,906,"$100,000 to $124,999"
"Christian County, Illinois",Christian, Illinois,B19101_015,512,"$125,000 to $149,999"
"Christian County, Illinois",Christian, Illinois,B19101_016,443,"$150,000 to $199,999"
"Christian County, Illinois",Christian, Illinois,B19101_017,222,"$200,000 or more"
"Clark County, Illinois",Clark, Illinois,B19101_002,176,"Less than $10,000"
"Clark County, Illinois",Clark, Illinois,B19101_003,163,"$10,000 to $14,999"
"Clark County, Illinois",Clark, Illinois,B19101_004,128,"$15,000 to $19,999"
"Clark County, Illinois",Clark, Illinois,B19101_005,196,"$20,000 to $24,999"
"Clark County, Illinois",Clark, Illinois,B19101_006,221,"$25,000 to $29,999"
"Clark County, Illinois",Clark, Illinois,B19101_007,147,"$30,000 to $34,999"
"Clark County, Illinois",Clark, Illinois,B19101_008,238,"$35,000 to $39,999"
"Clark County, Illinois",Clark, Illinois,B19101_009,228,"$40,000 to $44,999"
"Clark County, Illinois",Clark, Illinois,B19101_010,222,"$45,000 to $49,999"
"Clark County, Illinois",Clark, Illinois,B19101_011,528,"$50,000 to $59,999"
"Clark County, Illinois",Clark, Illinois,B19101_012,593,"$60,000 to $74,999"
"Clark County, Illinois",Clark, Illinois,B19101_013,721,"$75,000 to $99,999"
"Clark County, Illinois",Clark, Illinois,B19101_014,495,"$100,000 to $124,999"
"Clark County, Illinois",Clark, Illinois,B19101_015,294,"$125,000 to $149,999"
"Clark County, Illinois",Clark, Illinois,B19101_016,213,"$150,000 to $199,999"
"Clark County, Illinois",Clark, Illinois,B19101_017,156,"$200,000 or more"
"Clay County, Illinois",Clay, Illinois,B19101_002,93,"Less than $10,000"
"Clay County, Illinois",Clay, Illinois,B19101_003,94,"$10,000 to $14,999"
"Clay County, Illinois",Clay, Illinois,B19101_004,295,"$15,000 to $19,999"
"Clay County, Illinois",Clay, Illinois,B19101_005,129,"$20,000 to $24,999"
"Clay County, Illinois",Clay, Illinois,B19101_006,130,"$25,000 to $29,999"
"Clay County, Illinois",Clay, Illinois,B19101_007,195,"$30,000 to $34,999"
"Clay County, Illinois",Clay, Illinois,B19101_008,172,"$35,000 to $39,999"
"Clay County, Illinois",Clay, Illinois,B19101_009,187,"$40,000 to $44,999"
"Clay County, Illinois",Clay, Illinois,B19101_010,187,"$45,000 to $49,999"
"Clay County, Illinois",Clay, Illinois,B19101_011,394,"$50,000 to $59,999"
"Clay County, Illinois",Clay, Illinois,B19101_012,431,"$60,000 to $74,999"
"Clay County, Illinois",Clay, Illinois,B19101_013,632,"$75,000 to $99,999"
"Clay County, Illinois",Clay, Illinois,B19101_014,319,"$100,000 to $124,999"
"Clay County, Illinois",Clay, Illinois,B19101_015,236,"$125,000 to $149,999"
"Clay County, Illinois",Clay, Illinois,B19101_016,166,"$150,000 to $199,999"
"Clay County, Illinois",Clay, Illinois,B19101_017,44,"$200,000 or more"
"Clinton County, Illinois",Clinton, Illinois,B19101_002,197,"Less than $10,000"
"Clinton County, Illinois",Clinton, Illinois,B19101_003,194,"$10,000 to $14,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_004,192,"$15,000 to $19,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_005,264,"$20,000 to $24,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_006,262,"$25,000 to $29,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_007,372,"$30,000 to $34,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_008,275,"$35,000 to $39,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_009,413,"$40,000 to $44,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_010,292,"$45,000 to $49,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_011,767,"$50,000 to $59,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_012,1257,"$60,000 to $74,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_013,1450,"$75,000 to $99,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_014,1304,"$100,000 to $124,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_015,959,"$125,000 to $149,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_016,807,"$150,000 to $199,999"
"Clinton County, Illinois",Clinton, Illinois,B19101_017,413,"$200,000 or more"
"Coles County, Illinois",Coles, Illinois,B19101_002,605,"Less than $10,000"
"Coles County, Illinois",Coles, Illinois,B19101_003,579,"$10,000 to $14,999"
"Coles County, Illinois",Coles, Illinois,B19101_004,484,"$15,000 to $19,999"
"Coles County, Illinois",Coles, Illinois,B19101_005,498,"$20,000 to $24,999"
"Coles County, Illinois",Coles, Illinois,B19101_006,398,"$25,000 to $29,999"
"Coles County, Illinois",Coles, Illinois,B19101_007,667,"$30,000 to $34,999"
"Coles County, Illinois",Coles, Illinois,B19101_008,735,"$35,000 to $39,999"
"Coles County, Illinois",Coles, Illinois,B19101_009,480,"$40,000 to $44,999"
"Coles County, Illinois",Coles, Illinois,B19101_010,487,"$45,000 to $49,999"
"Coles County, Illinois",Coles, Illinois,B19101_011,1122,"$50,000 to $59,999"
"Coles County, Illinois",Coles, Illinois,B19101_012,1553,"$60,000 to $74,999"
"Coles County, Illinois",Coles, Illinois,B19101_013,1887,"$75,000 to $99,999"
"Coles County, Illinois",Coles, Illinois,B19101_014,999,"$100,000 to $124,999"
"Coles County, Illinois",Coles, Illinois,B19101_015,653,"$125,000 to $149,999"
"Coles County, Illinois",Coles, Illinois,B19101_016,646,"$150,000 to $199,999"
"Coles County, Illinois",Coles, Illinois,B19101_017,460,"$200,000 or more"
"Cook County, Illinois",Cook, Illinois,B19101_002,54063,"Less than $10,000"
"Cook County, Illinois",Cook, Illinois,B19101_003,30998,"$10,000 to $14,999"
"Cook County, Illinois",Cook, Illinois,B19101_004,37571,"$15,000 to $19,999"
"Cook County, Illinois",Cook, Illinois,B19101_005,46369,"$20,000 to $24,999"
"Cook County, Illinois",Cook, Illinois,B19101_006,44646,"$25,000 to $29,999"
"Cook County, Illinois",Cook, Illinois,B19101_007,48003,"$30,000 to $34,999"
"Cook County, Illinois",Cook, Illinois,B19101_008,45394,"$35,000 to $39,999"
"Cook County, Illinois",Cook, Illinois,B19101_009,46902,"$40,000 to $44,999"
"Cook County, Illinois",Cook, Illinois,B19101_010,39312,"$45,000 to $49,999"
"Cook County, Illinois",Cook, Illinois,B19101_011,80296,"$50,000 to $59,999"
