NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Monroe County, Wisconsin",Monroe County,Wisconsin,WI,163,1,46253,0.6134969325153374,2.1620219229022983,352.4095734330746
"Oconto County, Wisconsin",Oconto County,Wisconsin,WI,129,0,37930,0,0,340.1001845504877
"Oneida County, Wisconsin",Oneida County,Wisconsin,WI,53,0,35595,0,0,148.89731703890996
"Outagamie County, Wisconsin",Outagamie County,Wisconsin,WI,858,11,187885,1.282051282051282,5.854645128669133,456.6623200361924
"Ozaukee County, Wisconsin",Ozaukee County,Wisconsin,WI,422,16,89221,3.7914691943127963,17.932997836832136,472.98281794644754
"Pepin County, Wisconsin",Pepin County,Wisconsin,WI,29,0,7287,0,0,397.96898586523946
"Pierce County, Wisconsin",Pierce County,Wisconsin,WI,136,0,42754,0,0,318.09889133180525
"Polk County, Wisconsin",Polk County,Wisconsin,WI,88,2,43783,2.272727272727273,4.567983007103213,200.9912523125414
"Portage County, Wisconsin",Portage County,Wisconsin,WI,303,0,70772,0,0,428.1354207878822
"Price County, Wisconsin",Price County,Wisconsin,WI,16,0,13351,0,0,119.84121039622501
"Racine County, Wisconsin",Racine County,Wisconsin,WI,2739,69,196311,2.5191675794085433,35.14831058881061,1395.2351116340908
"Richland County, Wisconsin",Richland County,Wisconsin,WI,19,4,17252,21.052631578947366,23.185717597959655,110.13215859030838
"Rock County, Wisconsin",Rock County,Wisconsin,WI,1228,25,163354,2.035830618892508,15.304186000954981,751.7416163669087
"Rusk County, Wisconsin",Rusk County,Wisconsin,WI,13,1,14178,7.6923076923076925,7.053180984624065,91.69135280011285
"St. Croix County, Wisconsin",St. Croix County,Wisconsin,WI,346,2,90687,0.5780346820809248,2.205387762303307,381.5320828784721
"Sauk County, Wisconsin",Sauk County,Wisconsin,WI,247,3,64442,1.214574898785425,4.6553489959964,383.2904006703703
"Sawyer County, Wisconsin",Sawyer County,Wisconsin,WI,19,0,16558,0,0,114.74815799009542
"Shawano County, Wisconsin",Shawano County,Wisconsin,WI,118,0,40899,0,0,288.5156116286462
"Sheboygan County, Wisconsin",Sheboygan County,Wisconsin,WI,419,5,115340,1.1933174224343674,4.335009537020982,363.27379920235825
"Taylor County, Wisconsin",Taylor County,Wisconsin,WI,34,0,20343,0,0,167.13365776925724
"Trempealeau County, Wisconsin",Trempealeau County,Wisconsin,WI,242,1,29649,0.4132231404958678,3.372795035245708,816.2163985294613
"Vernon County, Wisconsin",Vernon County,Wisconsin,WI,46,0,30822,0,0,149.24404646032056
"Vilas County, Wisconsin",Vilas County,Wisconsin,WI,20,0,22195,0,0,90.11038522189682
"Walworth County, Wisconsin",Walworth County,Wisconsin,WI,983,19,103868,1.9328585961342828,18.292448107213,946.3934994415989
"Washburn County, Wisconsin",Washburn County,Wisconsin,WI,8,0,15720,0,0,50.89058524173028
"Washington County, Wisconsin",Washington County,Wisconsin,WI,608,19,136034,3.125,13.967096461178823,446.94708675772233
"Waukesha County, Wisconsin",Waukesha County,Wisconsin,WI,2540,42,404198,1.6535433070866141,10.390947011118314,628.4048906723932
"Waupaca County, Wisconsin",Waupaca County,Wisconsin,WI,248,14,50990,5.64516129032258,27.45636399293979,486.36987644636207
"Waushara County, Wisconsin",Waushara County,Wisconsin,WI,57,0,24443,0,0,233.19559792169537
"Winnebago County, Wisconsin",Winnebago County,Wisconsin,WI,884,15,171907,1.6968325791855203,8.72564817023158,514.2315321656478
"Wood County, Wisconsin",Wood County,Wisconsin,WI,140,1,72999,0.7142857142857143,1.369881779202455,191.78344908834367
